C1,C2,C3,C4,T1,T2,T3,T4
0,0,0,0,15.4,7.5,9.2,10
0,0,0,0,0.8,1.2,0.8,1.2
0,0,0,0,8.5,13,3.2,6.4
NA,0,0,0,5.45,5.45,4.15,4.6
0,0,0,0,5.2,7.2,5.5,0.9
0,0,0,0,4.8,4.8,1.2,0.7
0,0,0,0,18.1,6.3,10.7,NA
0,0,0,0,10.1,8.9,3,0
0,0,0,NA,6.6,10.8,5.1,NA
0,0,0,0,8.3,8.6,10.6,0.57
0,0,0,0,6.4,2.9,2.5,4
0,0,NA,NA,8.3,10.2,NA,NA
0,0,0,0,6,5.5,2,0.6
0,0,0,0,5.1,4.1,2,0.6
0,0,0,0,8.7,7.5,8.8,4.2
0,NA,NA,NA,7.2,NA,NA,NA
0,0,0,0,6.3,3.5,2,2
0,0,0,0,6.5,7.5,4.7,0.8
0,0,0,0,6.8,9.5,8.8,8.1
0,0,0,0,8.9,5.9,5.8,4.7
NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,6,3.1,1.4,0
NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,8,9.6,7.5,6.03
0,0,0,0,6.6,0,0,0
0,0,0,0,6.3,5.7,0,0
0,0,0.4,0,6,3,0.6,0.6
0,0,0,0,5.7,1,0.1,0
0,0,0,0,9.2,8.5,6.5,3.5
0,0,0,0,5.6,3.7,3.3,0.5
0,0,0,0,7.7,8.9,3.8,6
0,0,0,0,6.2,4.5,3.7,2.1
0,0,0,0,5.5,5.7,0,0
NA,0,0,0,NA,8.8,5.6,2.3
0,0,0,0,6.2,7.5,5.7,5.5
0,0,0,0,7.2,6.2,5.6,4
0,0,0,0,6.8,6.3,3.5,2.5
0,0,0,0,8.3,8.1,7.7,7.3
0,0,0,0,4.9,5,4.9,4.8
0,0,0,0,5.7,3.5,0,0
0,0,0,0,5.1,10.1,8.2,10.2
0,0,0,0,5,2.9,0,0
0,0,0,0,4.5,2,2.6,6.4
0,0,0,0,7.5,6.9,6,NA
0,0,0,0,5.5,8.2,7.5,NA
NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,6.5,3.3,0.9,0
0,0,0,0,9.6,8.6,9,N/A
0,0,0,0,5.3,3.4,2.25,1.8
0,0,0,0,4.5,1.5,0,0.7
0,0,0,0,7,6.7,2.8,0.6
0,0,0,0,3.2,6.5,3.3,3.16
0,0,0,0,5.3,4,6.5,4.8
0,0,0,0,6.2,3.7,1.9,2.9
0,0,0,0,6.7,5.5,2.8,2.6
0,0,0,0,6.3,9.1,0.4,0.6
0,0,0,0,4.4,2.1,3.8,1.6
0,0,0,0,4.4,9.1,8.1,NA
0,0,0,0,7.6,3.6,1.9,1.6
0,0,0,0,6.5,9.2,4.5,4.1
0,0,0,0,0.56,0,0,0
0,0,0,0,6.5,4,0.8,0.3
NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,5.1,4.4,2.2,0
0,0,0,0,9.6,5.3,8.9,NA
0,0,0,0,4.2,2.7,2.5,0
0,0,NA,NA,6.5,8.8,NA,NA
0,0,0,0,7.2,6.5,5.1,4.7
0,0,0,0,7.1,4.6,3.5,1.2
0,0,0,0,5.6,7.1,0.6,0.4
0,0,0,0,6.8,2.1,0.4,2
0,0,0,0,10.6,9.2,8,6
0,0,0,0,13.4,7.2,7.2,5.1
0,0,0,0,10.5,10.2,4.3,NA
0,0,0,0,8.6,6.5,2.7,0.6
0,0,0,0,6.4,5.8,4.4,3.7
0,0,0,0,4.1,3.4,2.6,2.39
0,0,0,0,11.1,11.5,1.6,3.4
0,0,0,0,4.1,6.1,3.9,0.1
0,0,0,0,15.57,9.1,9.5,5.5
0,0,0,0,5.9,5.4,2.6,1.7
0,0,0,0,8.4,8.1,0,0.9
0,0,0,0,6.8,0,0,0
0,0,0,0,9.9,8,NA,NA
0,0,0,0,9.5,9.2,8.2,6.2
0,0,0,0,5.9,4.3,3.2,2.4
0,0,0,0,6.6,5.4,4,3.2
0,0,0,0,6.5,6.2,1.5,4
0,0,0,0,6.9,2.2,0,0
0,0,0,0,6.8,0.3,1.9,0
0,0,0,0,6.5,4.6,1.3,0
0,0,0,NA,6.5,5.9,3.8,0.1
0,0,0,0,6.8,5.1,3.1,1.2
0,0,0,0,5.4,3.7,5.2,2.9
0,0,0,0,8.49,6.03,4.68,2.41
0,0,0,0,3.4,6.6,0,2.2
0,0,0,0,7.5,8.1,6.7,6.1
0,0,0,0,8.8,11.1,6.3,5.8
0,0,0,0,10,6,3,0
0,0,0,0,8.02,5.35,2.2,1.25
0,0,0,0,9.8,6,2.3,0.8