wetland,year,treatment,species,count.total.adults,No.males,No.females,No.recap,No.newcap,mean.hydro,sd.hydro,dv.cutornot.yrs,dv.30m.yrs
7,2004,30m,RASY,91,61,30,,82,101,34.58,1,1
7,2005,30m,RASY,47,15,32,3,44,101,34.58,2,2
7,2006,30m,RASY,128,58,70,18,110,101,34.58,3,3
7,2007,30m,RASY,60,46,14,10,50,101,34.58,4,4
7,2008,30m,RASY,108,89,19,6,102,101,34.58,5,5
7,2009,30m,RASY,,,,,,101,34.58,6,6
19,2004,30m,RASY,74,58,16,,70,107.33,38.01,1,1
19,2005,30m,RASY,75,53,22,5,70,107.33,38.01,2,2
19,2006,30m,RASY,162,130,32,29,133,107.33,38.01,3,3
19,2007,30m,RASY,120,63,57,13,107,107.33,38.01,4,4
19,2008,30m,RASY,14,8,6,0,14,107.33,38.01,5,5
19,2009,30m,RASY,44,24,20,0,44,107.33,38.01,6,6
20,2004,30m,RASY,148,113,33,,144,183.17,40.17,1,1
20,2005,30m,RASY,161,74,87,13,148,183.17,40.17,2,2
20,2006,30m,RASY,221,112,106,32,189,183.17,40.17,3,3
20,2007,30m,RASY,132,73,59,21,109,183.17,40.17,4,4
20,2008,30m,RASY,57,39,18,4,52,183.17,40.17,5,5
20,2009,30m,RASY,66,41,25,3,63,183.17,40.17,6,6
25,2004,100m,RASY,110,84,26,,106,155.67,42.28,1,0
25,2005,100m,RASY,80,54,26,13,65,155.67,42.28,2,0
25,2006,100m,RASY,152,93,59,13,137,155.67,42.28,3,0
25,2007,100m,RASY,171,127,42,48,122,155.67,42.28,4,0
25,2008,100m,RASY,98,63,33,18,80,155.67,42.28,5,0
25,2009,100m,RASY,194,121,71,18,173,155.67,42.28,6,0
30,2004,Reference,RASY,74,58,16,,73,65.67,15.72,0,0
30,2005,Reference,RASY,110,37,73,14,96,65.67,15.72,0,0
30,2006,Reference,RASY,173,115,55,37,134,65.67,15.72,0,0
30,2007,Reference,RASY,58,38,20,23,35,65.67,15.72,0,0
30,2008,Reference,RASY,81,50,31,17,64,65.67,15.72,0,0
30,2009,Reference,RASY,92,52,40,5,87,65.67,15.72,0,0
39,2004,100m,RASY,215,156,59,,212,192.33,20.82,1,0
39,2005,100m,RASY,180,83,95,53,127,192.33,20.82,2,0
39,2006,100m,RASY,188,96,92,69,118,192.33,20.82,3,0
39,2007,100m,RASY,55,7,44,23,32,192.33,20.82,4,0
39,2008,100m,RASY,84,46,38,13,70,192.33,20.82,5,0
39,2009,100m,RASY,46,25,21,5,41,192.33,20.82,6,0
55,2004,100m,RASY,99,72,27,,97,99.5,30.9,1,0
55,2005,100m,RASY,33,17,16,12,21,99.5,30.9,2,0
55,2006,100m,RASY,63,47,16,18,45,99.5,30.9,3,0
55,2007,100m,RASY,52,38,14,13,39,99.5,30.9,4,0
55,2008,100m,RASY,70,50,20,17,53,99.5,30.9,5,0
55,2009,100m,RASY,128,79,49,11,117,99.5,30.9,6,0
59,2004,30m,RASY,27,14,13,,27,116.5,48.76,1,1
59,2005,30m,RASY,98,68,30,10,88,116.5,48.76,2,2
59,2006,30m,RASY,42,25,17,1,41,116.5,48.76,3,3
59,2007,30m,RASY,53,27,25,6,47,116.5,48.76,4,4
59,2008,30m,RASY,14,12,2,2,12,116.5,48.76,5,5
59,2009,30m,RASY,44,19,25,3,41,116.5,48.76,6,6
124,2004,Reference,RASY,185,77,108,,181,122.6,46.32,0,0
124,2005,Reference,RASY,70,29,41,44,22,122.6,46.32,0,0
124,2006,Reference,RASY,196,113,81,22,173,122.6,46.32,0,0
124,2007,Reference,RASY,568,486,80,175,391,122.6,46.32,0,0
124,2008,Reference,RASY,106,48,58,29,77,122.6,46.32,0,0
124,2009,Reference,RASY,158,49,109,8,150,122.6,46.32,0,0
129,2004,100m,RASY,7,5,2,,7,44.83,25.99,1,0
129,2005,100m,RASY,11,6,5,1,10,44.83,25.99,2,0
129,2006,100m,RASY,21,16,5,3,17,44.83,25.99,3,0
129,2007,100m,RASY,10,5,5,1,9,44.83,25.99,4,0
129,2008,100m,RASY,18,10,8,1,17,44.83,25.99,5,0
129,2009,100m,RASY,32,6,26,1,31,44.83,25.99,6,0
141,2004,Reference,RASY,73,64,9,,73,197,6.32,0,0
141,2005,Reference,RASY,93,61,31,27,64,197,6.32,0,0
141,2006,Reference,RASY,73,43,30,13,60,197,6.32,0,0
141,2007,Reference,RASY,161,117,44,40,121,197,6.32,0,0
141,2008,Reference,RASY,54,44,9,10,44,197,6.32,0,0
141,2009,Reference,RASY,116,86,30,20,96,197,6.32,0,0
7,2004,30m,AMMA,78,36,42,,,101,34.58,1,1
7,2005,30m,AMMA,33,13,20,11,22,101,34.58,2,2
7,2006,30m,AMMA,73,27,45,24,49,101,34.58,3,3
7,2007,30m,AMMA,44,19,24,21,23,101,34.58,4,4
7,2008,30m,AMMA,43,19,24,12,31,101,34.58,5,5
7,2009,30m,AMMA,,,,,,101,34.58,6,6
19,2004,30m,AMMA,40,28,12,,,107.33,38.01,1,1
19,2005,30m,AMMA,56,40,16,5,51,107.33,38.01,2,2
19,2006,30m,AMMA,38,26,12,7,31,107.33,38.01,3,3
19,2007,30m,AMMA,27,22,5,8,19,107.33,38.01,4,4
19,2008,30m,AMMA,9,6,3,0,9,107.33,38.01,5,5
19,2009,30m,AMMA,18,13,5,1,17,107.33,38.01,6,6
20,2004,30m,AMMA,122,69,53,,,183.17,40.17,1,1
20,2005,30m,AMMA,90,47,42,10,77,183.17,40.17,2,2
20,2006,30m,AMMA,157,119,38,31,126,183.17,40.17,3,3
20,2007,30m,AMMA,100,53,43,25,72,183.17,40.17,4,4
20,2008,30m,AMMA,45,24,20,15,29,183.17,40.17,5,5
20,2009,30m,AMMA,54,38,16,6,48,183.17,40.17,6,6
25,2004,100m,AMMA,196,120,76,,,155.67,42.28,1,0
25,2005,100m,AMMA,139,90,48,30,109,155.67,42.28,2,0
25,2006,100m,AMMA,118,77,41,59,59,155.67,42.28,3,0
25,2007,100m,AMMA,76,44,29,35,41,155.67,42.28,4,0
25,2008,100m,AMMA,104,63,41,38,66,155.67,42.28,5,0
25,2009,100m,AMMA,160,126,34,13,147,155.67,42.28,6,0
30,2004,Reference,AMMA,59,40,19,,,65.67,15.72,0,0
30,2005,Reference,AMMA,47,35,12,20,27,65.67,15.72,0,0
30,2006,Reference,AMMA,40,26,14,12,28,65.67,15.72,0,0
30,2007,Reference,AMMA,41,23,18,18,23,65.67,15.72,0,0
30,2008,Reference,AMMA,38,23,15,13,25,65.67,15.72,0,0
30,2009,Reference,AMMA,33,19,14,2,31,65.67,15.72,0,0
39,2004,100m,AMMA,242,107,135,,,192.33,20.82,1,0
39,2005,100m,AMMA,193,80,113,72,121,192.33,20.82,2,0
39,2006,100m,AMMA,201,93,108,126,75,192.33,20.82,3,0
39,2007,100m,AMMA,56,41,11,21,35,192.33,20.82,4,0
39,2008,100m,AMMA,114,77,37,37,77,192.33,20.82,5,0
39,2009,100m,AMMA,149,102,47,16,133,192.33,20.82,6,0
55,2004,100m,AMMA,14,3,11,,,99.5,30.9,1,0
55,2005,100m,AMMA,18,9,9,5,13,99.5,30.9,2,0
55,2006,100m,AMMA,5,2,3,1,4,99.5,30.9,3,0
55,2007,100m,AMMA,7,1,5,0,6,99.5,30.9,4,0
55,2008,100m,AMMA,7,4,3,1,6,99.5,30.9,5,0
55,2009,100m,AMMA,12,8,3,2,8,99.5,30.9,6,0
59,2004,30m,AMMA,21,9,12,,,116.5,48.76,1,1
59,2005,30m,AMMA,16,7,9,2,14,116.5,48.76,2,2
59,2006,30m,AMMA,19,7,11,1,18,116.5,48.76,3,3
59,2007,30m,AMMA,15,8,7,3,12,116.5,48.76,4,4
59,2008,30m,AMMA,11,7,2,0,11,116.5,48.76,5,5
59,2009,30m,AMMA,30,21,9,2,28,116.5,48.76,6,6
124,2004,Reference,AMMA,21,8,13,,,122.6,46.32,0,0
124,2005,Reference,AMMA,18,8,10,5,13,122.6,46.32,0,0
124,2006,Reference,AMMA,15,9,5,3,12,122.6,46.32,0,0
124,2007,Reference,AMMA,29,3,26,11,18,122.6,46.32,0,0
124,2008,Reference,AMMA,22,7,15,8,14,122.6,46.32,0,0
124,2009,Reference,AMMA,24,12,12,2,22,122.6,46.32,0,0
129,2004,100m,AMMA,4,3,1,,,44.83,25.99,1,0
129,2005,100m,AMMA,6,2,4,2,4,44.83,25.99,2,0
129,2006,100m,AMMA,3,3,0,0,3,44.83,25.99,3,0
129,2007,100m,AMMA,2,1,1,0,2,44.83,25.99,4,0
129,2008,100m,AMMA,0,0,0,0,0,44.83,25.99,5,0
129,2009,100m,AMMA,5,5,0,1,4,44.83,25.99,6,0
141,2004,Reference,AMMA,66,38,28,,,197,6.32,0,0
141,2005,Reference,AMMA,65,34,31,20,45,197,6.32,0,0
141,2006,Reference,AMMA,48,28,20,23,25,197,6.32,0,0
141,2007,Reference,AMMA,47,26,21,24,23,197,6.32,0,0
141,2008,Reference,AMMA,10,7,2,4,6,197,6.32,0,0
141,2009,Reference,AMMA,33,25,8,4,29,197,6.32,0,0
