index,fem.sp,treename,basal.hw.weighted_mean,basal.hw.weighted_sd,distal.hw.weighted_mean,distal.hw.weighted_sd,basal.fw.weighted_mean,basal.fw.weighted_sd,distal.fw.weighted_mean,distal.fw.weighted_sd,both.weighted_mean,both.weighted_sd,hw.basal.Red_mean,hw.basal.Red_sd,hw.basal.Green_mean,hw.basal.Green_sd,hw.basal.Blue_mean,hw.basal.Blue_sd,hw.tip.Red_mean,hw.tip.Red_sd,hw.tip.Green_mean,hw.tip.Green_sd,hw.tip.Blue_mean,hw.tip.Blue_sd,fw.basal.Red_mean,fw.basal.Red_sd,fw.basal.Green_mean,fw.basal.Green_sd,fw.basal.Blue_mean,fw.basal.Blue_sd,fw.tip.Red_mean,fw.tip.Red_sd,fw.tip.Green_mean,fw.tip.Green_sd,fw.tip.Blue_mean,fw.tip.Blue_sd,n.photos,tot.int.basal.hw_mean,tot.int.basal.hw_sd,tot.int.mid.hw_mean,tot.int.mid.hw_sd,tot.int.tip.hw_mean,tot.int.tip.hw_sd,tot.int.basal.fw_mean,tot.int.basal.fw_sd,tot.int.mid.fw_mean,tot.int.mid.fw_sd,tot.int.tip.fw_mean,tot.int.tip.fw_sd,int.weighted_mean,int.weighted_sd,n.scans
1,am,H_americana,167.7227568,25.63097125,207.2091584,11.52376802,172.2785403,22.52603046,209.5108658,12.91804796,756.7213214,63.50028947,191.2042073,20.42568714,163.8981724,27.84797134,125.8286989,31.97560918,223.1166294,9.593090991,205.9730094,12.03442117,171.8520152,19.77336062,195.882391,15.37398938,168.5772627,25.12191755,129.4285284,33.52560602,221.5022544,11.71485625,208.9705732,13.39902905,180.8418003,18.25075469,63,4077.697813,1189.154867,11405.7354,1255.562983,6663.681169,2031.3767,3667.334549,1438.565292,12619.17174,960.7479871,8193.123913,1560.768963,213506.4261,19370.93748,44
2,vul,H_vulnerata,191.4183105,17.60186318,210.591511,10.75147988,194.5872263,13.75885594,213.6990827,9.894914474,810.2961305,48.13020809,207.5828226,14.92919014,190.1543548,18.11018247,155.5301774,24.99031856,222.6877419,10.51980487,209.9504677,10.72047177,182.1662419,13.50242007,209.8015968,11.3626721,193.8393065,14.26554493,158.534,22.36975499,223.5116774,9.771611969,213.4431935,9.94388193,189.2801452,11.92095301,31,4526.416175,971.1422759,11451.00752,1205.18279,7091.612001,1797.057673,5798.934609,1304.517828,12533.8758,1557.141287,8412.805047,2417.33913,217751.6374,19473.69563,32
3,tit,H_titia,142.3858303,51.79991932,144.0000532,65.99032085,143.6109451,54.92844768,179.3005245,43.78889881,609.2973531,212.2876254,166.4921471,56.29380662,138.4362396,52.81903183,99.49654081,39.99376275,161.5173422,71.13469679,141.0289165,66.57320768,113.3543321,53.2885539,167.3275369,56.87936003,139.8119023,56.50314656,100.9686398,46.33082256,199.6462996,40.68466748,176.6061776,45.63289992,139.8110061,45.34818328,307,4390.196058,1845.595529,5567.877369,4077.356084,4077.372113,3334.799191,4206.705655,1897.184937,7027.045966,4203.544773,7321.156124,2328.622866,120963.3618,72849.0807,150
4,cru,H_cruentata,194.0444699,14.27812933,210.3837035,13.57117106,200.4645883,13.45675604,216.6319106,12.79645928,821.5246724,51.4552978,209.182576,12.81053198,194.1676514,14.53575931,153.7058629,20.38685038,221.992298,11.94573848,210.3379434,13.92588552,180.1722247,18.40619269,213.5200875,11.90743506,200.9725434,13.625714,163.6070101,20.2100209,226.198248,11.60583621,216.9576353,13.04734756,189.8640573,17.22689165,77,5096.958894,790.5023027,11244.04212,1369.11187,8378.850336,1843.763738,6349.325643,1524.559332,12460.42329,1728.244612,10369.90831,1598.670747,221614.6083,19784.20682,28
5,oc,H_occisa,191.9851724,15.20560408,207.8200152,14.54762692,195.2968752,14.75195212,212.055362,14.53735845,807.1574248,56.09857144,212.2391018,15.53386064,191.1915838,15.44421583,142.9493099,23.15885306,223.2275511,14.38614449,207.1920321,14.77846074,170.6425838,20.01217498,213.1490766,14.95168313,194.9474801,14.96055172,150.273074,23.25779834,224.8380687,14.1836736,211.8035946,14.73109421,179.82517,19.98497389,363,6254.999638,1266.385939,11460.16489,1441.267843,9186.90813,1651.370249,6690.893464,1221.916619,12285.85138,1508.141779,10436.24698,1954.694292,222905.3939,23925.68603,146
6,sem,H_sempronia,204.3103567,10.73358417,216.8349357,10.89944521,205.8434379,10.38209215,221.0465573,9.515872777,848.0352876,38.97033209,214.8771352,11.17654301,204.8172556,10.5717174,173.9856512,12.08855431,227.967538,9.665030055,216.9436452,11.25790108,187.0765096,14.84267121,215.2903868,10.93230083,206.5725168,10.19745906,177.3117972,11.18904517,231.0181008,8.541789105,221.2525396,9.818885935,193.8324948,13.01627048,25,4554.024092,847.0847,11703.94681,1802.418428,8098.060661,2217.672522,5020.421619,848.899555,12004.42239,870.5212641,8799.884464,2629.861849,216139.3444,25554.8762,7
7,min,H_miniata,199.0912469,12.07115216,210.129626,11.60119833,202.4485851,12.65700444,217.989554,12.69104154,829.6590119,47.02433307,223.803176,11.61771893,197.3282627,12.69322361,143.3544478,15.07215178,232.1345877,10.22336641,208.677611,12.371363,159.8914613,14.970999,224.6522639,11.64553804,201.1027882,13.32405026,151.142294,15.75915743,234.8369118,10.48991725,217.3003967,13.62525073,177.3507415,15.80159385,71,6052.111609,1120.028504,10521.18066,1821.189949,6713.723751,1402.11714,6795.069612,1511.009308,11145.55546,2176.023939,7382.732206,1685.960799,200277.5261,33448.62548,29
8,fus,H_fuscoguttata,199.4985644,11.826803,217.3515582,11.32820468,196.9961658,10.52782537,217.1127161,10.61022589,830.9590045,40.8190156,213.5465617,10.66095893,198.3139328,12.27723551,168.7531918,13.69602908,232.5972355,10.04557913,216.0794379,11.8527098,183.9153926,13.17398098,210.5767427,10.0199529,195.9297236,10.7789027,166.8681753,11.76889432,231.421198,9.730716249,215.9444056,11.00295648,185.6001039,12.36061097,74,8228.100192,1294.433866,12110.03251,1040.509262,8615.992011,1543.852567,8224.881643,973.3453492,12824.33896,1206.059741,9756.136255,1777.197421,234300.0819,16678.2184,23
9,caj,H_caja,173.2668044,NA,200.826904,NA,172.4026778,NA,200.7705489,NA,747.266935,NA,208.41914,NA,169.39398,NA,101.01066,NA,223.87783,NA,198.6793,NA,151.42705,NA,205.22643,NA,169.3065,NA,102.25491,NA,222.21227,NA,199.18928,NA,152.6752,NA,1,4776.187035,635.1917101,8686.494497,1014.534786,5399.445487,760.0230499,4944.552869,437.9655131,9398.432135,1507.718536,7192.15733,774.249826,166991.7558,22464.50569,3
10,maj,H_majuscula,181.8242903,11.26093988,199.6718015,14.28487818,182.1318233,11.43183128,201.7960816,13.37171144,765.4239968,47.71982188,199.1826979,12.96256691,180.1399338,11.04610986,144.9694956,8.970399608,213.7481903,13.01889182,198.7936741,14.75944995,167.2737362,16.28614763,198.3682253,13.10450842,180.6232009,11.23635726,147.3149562,9.037007971,215.3636479,12.74493652,201.0457109,13.79035792,170.0747247,13.83728131,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,cap,H_capitalis,197.9257558,12.31426266,212.8724882,12.70801192,199.0560768,11.9848726,213.4104232,11.51618308,823.264744,46.88855075,216.8497492,11.39289799,196.990106,13.0230464,153.1095492,18.81169642,228.0980878,10.92542176,212.0517029,13.46657247,177.1650027,18.38630329,217.0557931,10.5299961,198.3225392,12.76484466,155.6233695,18.86739393,228.0627592,10.13016809,212.7372237,12.18348467,178.4465608,16.2812518,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA